Fecha,CodigoPlanta,TipoGeneracion,TipoClasificacion,TipoDespachoRecurso,GeneracionRealEstimada kWh,GeneracionProgramadaDespacho kWh,GeneracionProgramadaRedespacho kWh
2013-01-08,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13122075.0,13122075.0,12960000.0
2013-01-08,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3119280.0,3119280.0,3199760.0
2013-01-08,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-01-08,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,0.0,0.0,0.0
2013-01-07,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3211560.0,3211560.0,3302000.0
2013-01-07,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,6858141.0,6858141.0,6711040.0
2013-01-07,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,0.0,0.0,0.0
2013-01-07,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13466398.0,13466398.0,13440000.0
2013-01-06,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,82237.6,82237.6,79000.0
2013-01-06,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,12894573.0,12894573.0,12889000.0
2013-01-06,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3214140.0,3214140.0,3302000.0
2013-01-06,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,9406541.0,9406541.0,9720000.0
2013-01-05,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3343740.0,3343740.0,3480000.0
2013-01-05,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,9660.0,9660.0,0.0
2013-01-05,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,12513201.0,12513201.0,12600000.0
2013-01-05,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,3129341.25,3129341.25,3163260.0
2013-01-04,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,0.0,0.0,0.0
2013-01-04,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,3612924.25,3612924.25,3629000.0
2013-01-04,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3348600.0,3348600.0,3480000.0
2013-01-04,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,12259906.0,12259906.0,12416000.0
2013-01-03,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,1292140.13,1292140.13,1204000.0
2013-01-03,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,4961115.0,4961115.0,5070280.0
2013-01-03,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,3631666.75,3631666.75,3679000.0
2013-01-03,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3393240.0,3393240.0,3480000.0
2013-01-02,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13433174.0,13433174.0,13440000.0
2013-01-02,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,9310400.0,9310400.0,9720000.0
2013-01-02,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3361140.0,3361140.0,3480000.0
2013-01-02,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,3679559.5,3679559.5,3762000.0
2013-01-01,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,508416.81,508416.81,500000.0
2013-01-01,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,158700.0,158700.0,0.0
2013-01-01,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,3332100.0,3332100.0,3480000.0
2013-01-01,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13437680.0,13437680.0,13440000.0
2013-02-28,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,2982660.0,2982660.0,2985000.0
2013-02-28,FLORES1CC_160MW,Termica,Termica,Despachado Centralmente,1269946.75,1269946.75,1251000.0
2013-02-28,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,13355308.0,13355308.0,13440000.0
2013-02-28,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,8456641.0,8456641.0,8943040.0
2013-02-27,GUAJIRA1 CARBON 145MW,Termica,Termica,Despachado Centralmente,2609520.0,2609520.0,2624688.0
2013-02-27,GUATAPE 560MW,Hidraulica,tipo no identificado,Despachado Centralmente,12619636.0,12619636.0,12513000.0
2013-02-27,PORCE II 405MW,Hidraulica,tipo no identificado,Despachado Centralmente,87400.01,87400.01,0.0
